longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-118.11,33.93,35,2670,493,1196,488,3.8427,283500,<1H OCEAN
-122.15,37.68,30,2261,443,929,383,4.2841,213400,NEAR BAY
-118.34,35.27,10,2939,605,1167,446,2.3917,79000,INLAND
-116.95,32.77,25,3308,421,1201,414,NA,303400,<1H OCEAN
-117.12,33.52,4,30401,4957,13251,4339,4.5841,212300,<1H OCEAN
-118.12,33.82,42,1493,277,671,267,3.2794,224500,NA
-122.48,37.69,42,2993,512,1594,546,4.4821,252400,NEAR OCEAN
-118.38,33.87,33,1993,371,918,361,NA,337600,<1H OCEAN
-118.42,34.27,35,2700,702,3444,679,1.4867,124000,<1H OCEAN
-122.73,38.47,16,1834,391,994,390,3.7266,156500,<1H OCEAN
-118.5,34.03,52,1506,208,547,186,NA,500001,NA
-118.98,35.37,35,825,179,670,181,1.1638,57900,INLAND
-120.56,35.07,14,6788,1216,2866,1036,3.3603,280200,<1H OCEAN
-122.17,37.73,52,1555,289,NA,292,3.7159,183300,NEAR BAY
-117.99,33.82,19,1991,528,1202,460,3.1538,252100,NA
-116.37,33.19,12,4890,1152,1289,570,2.5795,98700,INLAND
-117.01,32.7,7,2327,490,1304,445,3.3553,132200,NEAR OCEAN
-118.8,34.19,4,15572,2222,5495,2152,NA,500001,<1H OCEAN
-118.09,33.75,32,6239,974,2615,950,NA,380000,NEAR OCEAN
-117.29,33.19,18,6235,1233,4127,1162,3.0704,151600,NEAR OCEAN
-122.42,37.65,39,4402,894,2941,887,3.8565,239800,NEAR OCEAN
-121.86,37.35,35,2391,605,1886,595,2.5551,182100,<1H OCEAN
-119,35.36,35,1021,280,1258,239,1.7375,48600,INLAND
-118.27,34.07,33,1177,468,1533,430,2.3981,183300,<1H OCEAN
-119.66,36.35,15,1724,374,947,391,3.1094,91900,INLAND
-122.07,37.35,35,1579,210,570,196,NA,500001,NA
-118.04,34.12,44,2007,288,921,307,NA,500001,NA
-118.31,33.96,52,2523,460,1167,413,3.0625,127400,<1H OCEAN
-122.12,37.09,36,1397,289,661,243,4.125,239600,NA
-122.2,37.79,35,1802,459,1009,390,2.3036,126000,NEAR BAY
-117.09,32.8,15,666,152,247,164,2.15,131300,NEAR OCEAN
-118.82,36.13,43,1281,287,534,231,2.8906,65700,INLAND
-117.3,34.18,19,2526,381,1176,381,5.5136,137100,INLAND
-118.31,33.83,27,2880,802,2083,727,2.9619,223400,<1H OCEAN
-117.93,33.74,5,639,197,666,197,3.3017,87500,<1H OCEAN
-118.17,33.78,29,2920,962,3580,772,1.7393,140200,NEAR OCEAN
-122.18,37.46,40,2529,293,NA,258,NA,500001,NEAR BAY
-120.71,35.5,12,3098,453,1433,434,5.2508,292900,NA
-118.55,34.04,41,1482,239,617,242,NA,500001,NA
-121.86,37,16,8638,1392,3706,1251,5.503,351800,<1H OCEAN
-118.42,34.01,29,1996,489,960,449,3.6611,344200,NA
-122.43,37.73,52,1142,224,494,206,5.0602,298900,NA
-121.64,39.22,37,1189,248,627,219,3.8611,100000,INLAND
-122.23,38.14,36,1412,260,792,268,2.3056,90400,NEAR BAY
-121.96,37.23,36,4423,632,1719,608,NA,476400,<1H OCEAN
-122.37,40.39,12,3783,702,NA,639,3.3005,98500,INLAND
-118.2,34.21,40,1477,228,609,224,NA,500001,<1H OCEAN
-122.24,37.46,36,4686,781,2254,845,6.1043,343500,NEAR OCEAN
-117.98,33.77,22,3236,673,2034,662,4.0955,174200,<1H OCEAN
-116.91,33.75,13,10886,2127,4266,1955,2.3169,123400,INLAND
-120.25,37.11,20,2062,466,1285,456,1.5319,50500,INLAND
-120.76,38.6,14,2925,625,1226,437,2.5865,133800,INLAND
-118.06,33.9,37,1161,254,882,236,4.4167,158000,<1H OCEAN
-122.11,37.39,36,1660,261,655,249,NA,500001,NEAR BAY
-117.27,33.2,23,2145,379,1360,404,4.2054,150700,<1H OCEAN
-117.1,33.15,5,3159,685,1398,581,3.1467,161100,<1H OCEAN
-119.63,36.58,22,1794,435,1127,359,1.2647,55300,INLAND
-121.32,38.59,24,4378,910,2149,812,2.5035,123700,INLAND
-121.82,37.42,13,3752,572,1581,526,6.1091,329400,<1H OCEAN
-118.25,34.11,52,125,42,99,40,3.4375,170000,<1H OCEAN
-117.89,33.72,23,2305,538,2493,502,3.6618,183500,<1H OCEAN
-118.19,33.91,35,2695,748,2935,706,2.0134,132400,<1H OCEAN
-117.82,33.8,15,3207,647,NA,595,4.0484,165600,<1H OCEAN
-118.18,34.17,43,4269,591,1467,582,NA,500001,<1H OCEAN
-121.99,38.27,16,4138,758,1762,723,3.1979,137500,INLAND
-114.94,34.55,20,350,95,119,58,1.625,50000,INLAND
-116.96,32.86,14,3064,496,NA,503,4.4347,160300,<1H OCEAN
-122.02,38.37,16,2495,331,1118,338,NA,198000,INLAND
-118.34,33.93,37,1638,407,1341,369,3.0677,167700,<1H OCEAN
-117.88,33.85,34,1127,185,588,181,4.375,224700,<1H OCEAN
-122.46,37.76,52,1817,449,948,380,3.93,390000,NEAR BAY
-119.28,35.99,20,2911,597,1746,588,1.7372,51000,INLAND
-124.22,41.73,28,3003,699,1530,653,1.7038,78300,NEAR OCEAN
-117.15,34.04,14,2845,420,1172,377,NA,283100,NA
-121.96,37.95,13,3216,765,1627,715,3.0859,167800,INLAND
-118.06,33.98,42,1342,243,NA,208,5.4381,186900,<1H OCEAN
-117.37,33.22,35,2204,482,1435,462,3.676,125600,NEAR OCEAN
-118.13,34.08,40,1931,449,1367,446,2.575,228400,<1H OCEAN
-118,33.79,18,3679,694,1820,652,3.6531,143500,<1H OCEAN
-117.17,32.63,26,1617,279,2745,250,3.5357,67500,NEAR OCEAN
-119.17,34.27,18,8010,1539,3982,1483,4.0905,236500,NEAR OCEAN
-121.99,37.27,27,2937,497,1454,511,5.4051,273500,<1H OCEAN
-121.89,37.68,22,1898,239,NA,245,NA,334100,<1H OCEAN
-117.15,32.76,40,1809,474,826,456,2.6518,179800,NEAR OCEAN
-122.15,37.44,52,1400,217,522,227,4.9861,500001,NA
-121.28,37.99,42,495,116,284,97,2.8854,55700,INLAND
-122.04,37.58,14,14917,2708,8012,2606,5.6277,269800,NA
-118.37,33.85,34,2415,404,1278,414,6.1599,341200,NA
-122.68,38.43,29,488,63,161,62,6.0774,334400,<1H OCEAN
-120.87,35.41,16,2168,444,782,374,3.0187,278100,NEAR OCEAN
-117.98,33.82,34,1290,220,867,241,5.5486,218100,NA
-118.39,33.86,34,2361,442,915,437,5.687,392400,<1H OCEAN
-118.67,34.27,10,3753,678,1859,660,4.9946,204600,<1H OCEAN
-121.84,37.99,13,4545,952,2188,901,3.3625,126100,INLAND
-122.27,37.54,16,3913,565,1752,557,NA,419700,NA
-119.65,36.32,11,1294,314,713,290,1.5433,50400,INLAND
-117.97,33.86,34,2138,490,1682,463,3.6006,161700,<1H OCEAN
-119.72,34.42,31,1524,383,1257,398,2.6019,250000,NEAR OCEAN
-118.09,34.14,40,3092,549,1457,536,5.3377,373800,INLAND
-118.04,33.86,21,2870,437,1671,470,NA,322700,<1H OCEAN
-117.65,33.53,7,6814,785,2175,681,NA,500001,<1H OCEAN
-122.26,41.66,17,1885,350,953,328,2.1607,61400,INLAND
-118.28,34.07,41,1072,331,1111,314,1.9233,207100,<1H OCEAN
-117.91,34.1,35,2746,478,1779,501,4.25,166700,<1H OCEAN
-118.42,34.24,17,2049,548,2243,541,2.525,163700,<1H OCEAN
-118.37,34.03,39,213,44,NA,52,2.125,196400,<1H OCEAN
-120.96,37.54,29,1468,245,747,231,3.4643,125000,INLAND
-117.22,33.22,15,1430,343,704,322,1.9571,162500,<1H OCEAN
-118.44,34.28,38,1156,305,1359,289,2.5147,137100,<1H OCEAN
-118.26,33.97,44,1246,308,1031,295,1.9556,96300,<1H OCEAN
-122.29,38.29,52,3217,742,1670,671,2.4398,163100,NEAR BAY
-118.47,34.05,25,2689,719,1229,663,3.5909,500001,<1H OCEAN
-117.82,33.9,25,1137,170,524,164,NA,259300,<1H OCEAN
-118.35,33.8,32,1434,296,672,285,4.875,311700,<1H OCEAN
-118.47,34.03,32,3024,784,1323,740,3.3889,347900,NA
-118.35,34.05,46,2149,451,905,443,2.8841,290800,<1H OCEAN
-118.21,34.05,28,1079,306,1358,285,2.52,131900,<1H OCEAN
-117.1,32.75,21,2063,609,1686,558,1.4828,94800,NEAR OCEAN
-118.06,35.68,15,1962,403,730,321,2.25,67500,INLAND
-117.18,33.78,7,1697,424,808,354,1.3417,169300,INLAND
-118.27,33.86,26,1097,167,701,188,NA,196600,<1H OCEAN
-122.69,38.37,8,6322,1001,2969,1043,4.8233,214000,NA
-120.26,37.13,33,1239,250,648,227,2.0278,58800,INLAND
-118.51,34.11,29,9013,1117,2919,1061,NA,500001,<1H OCEAN
-117.97,33.89,17,1740,445,NA,412,2.8649,137500,<1H OCEAN
-121.35,38.04,5,4303,613,NA,621,5.5842,159100,INLAND
-121.31,38.66,27,1713,282,761,295,5.2081,136400,INLAND
-120.16,37.12,29,1995,392,NA,354,1.9073,79200,INLAND
-121.54,38.5,15,6093,1051,2415,997,4.2075,183600,INLAND
-118.12,33.91,36,1432,265,749,261,3.5772,207400,<1H OCEAN
-117.22,32.75,26,617,112,251,110,3.8036,162000,NEAR OCEAN
-122.32,37.99,24,4865,968,2315,893,4.2852,173500,NEAR BAY
-117.17,32.81,26,2424,388,974,375,4.739,184100,NEAR OCEAN
-121.24,38.68,20,1402,236,676,236,3.7426,135500,INLAND
-118.35,34.17,44,2572,613,1280,570,3.5583,232000,<1H OCEAN
-118.01,33.7,24,3856,567,1741,588,NA,302700,<1H OCEAN
-121.27,37.96,43,948,221,749,208,1.962,52700,INLAND
-116.87,32.72,13,3268,491,1431,503,5.7652,259900,<1H OCEAN
-122.02,36.97,44,594,169,325,139,1.1552,250000,NA
-120.43,37.32,16,1170,178,566,181,5.2522,125300,INLAND
-117.59,34.16,10,9467,1181,3819,1122,NA,361400,INLAND
-118.27,34.24,30,2180,369,1050,390,NA,277600,<1H OCEAN
-121.54,38.51,17,8482,1590,3362,1513,4.2216,217900,INLAND
-117.39,33.97,52,3307,553,1269,529,4.3176,136200,INLAND
-121.42,38.5,24,7740,1539,4333,1397,3.025,87900,INLAND
-120.41,34.88,4,3680,559,1678,569,5.0639,201700,<1H OCEAN
-118.31,34.09,28,720,267,891,265,1.8977,100000,<1H OCEAN
-118.85,34.14,24,1999,244,759,247,NA,366300,<1H OCEAN
-117.88,33.72,38,1421,300,NA,263,3.9844,165300,<1H OCEAN
-118.61,34.25,16,8295,1506,3903,1451,5.5111,276600,NA
-121.01,37.66,36,3679,613,1366,581,4.5,151400,INLAND
-121.88,38.01,9,5329,1284,2827,1202,2.7374,150000,INLAND
-117.61,33.43,24,2303,399,851,379,3.9875,346500,NEAR OCEAN
-122.43,37.76,52,1582,353,868,329,3.8261,250000,NEAR BAY
-120.46,34.65,22,1298,358,1272,363,1.6488,117500,NEAR OCEAN
-117.69,33.48,25,3240,481,1462,497,NA,288500,<1H OCEAN
-122.47,37.72,46,1836,319,767,302,5.9114,399000,NA
-121.86,37.31,24,1939,652,1808,625,2.2259,112500,<1H OCEAN
-118.16,33.84,36,1348,234,643,221,3.6447,211000,<1H OCEAN
-122.37,37.59,52,2272,403,963,376,5.7245,500000,NEAR OCEAN
-121.41,38.55,14,2534,705,1495,583,1.9167,156300,INLAND
-118.33,34.08,52,1777,454,NA,439,3.5083,500001,<1H OCEAN
-120.67,37.37,18,164,30,104,32,1.6607,87500,INLAND
-117.62,33.64,2,7826,893,NA,790,NA,484100,<1H OCEAN
-121.78,40.12,14,388,108,35,17,6.1359,106300,INLAND
-122.42,37.74,52,1540,370,1136,363,4.3125,243000,NEAR BAY
-118.35,34.08,52,2088,388,908,375,3.8141,342000,<1H OCEAN
-118.28,33.96,39,882,221,697,189,1.8472,99100,<1H OCEAN
-118.11,33.84,36,1756,297,798,287,5.5581,218300,<1H OCEAN
-122.24,37.82,52,3665,517,1470,520,6.155,398600,NEAR BAY
-122.15,37.73,52,1028,129,317,143,4.9135,275000,NEAR BAY
-117.8,33.77,29,5436,707,2046,685,NA,349500,<1H OCEAN
-119.02,35.44,29,3415,631,1527,597,4.0125,84400,INLAND
-118.32,33.96,47,1453,247,721,276,5.5176,191000,<1H OCEAN
-117.39,33.69,5,6529,997,3464,1006,5.3275,168700,<1H OCEAN
-121.34,38.66,17,1149,257,583,243,2.8092,137500,INLAND
-117.32,33.99,27,5464,850,2400,836,4.711,133500,INLAND
-117.92,34.03,35,1469,306,1285,308,3.9219,159500,<1H OCEAN
-121.88,37.99,16,3787,515,1606,507,5.5676,174200,INLAND
-118.4,34.19,35,1631,356,862,368,3.6007,261800,NA
-122.33,37.53,18,4493,760,NA,725,NA,413000,NEAR OCEAN
-117.17,34.12,3,15695,2248,6080,1920,NA,173900,INLAND
-117.93,34.09,35,1891,353,1093,382,4.0167,165500,<1H OCEAN
-122.51,37.58,20,64,21,59,21,2.2375,450000,NEAR OCEAN
-118.36,34.09,36,1390,458,874,468,2.5812,200000,<1H OCEAN
-118.08,34.13,39,788,128,413,139,5.9546,396700,NA
-117.06,32.58,11,2879,679,2098,673,3.5125,142400,NEAR OCEAN
-118.16,34.01,36,931,246,732,235,1.7679,142800,<1H OCEAN
-118.88,34.22,16,2343,393,2007,383,5.756,302700,NA
-118.37,34.1,37,407,67,100,47,NA,500001,<1H OCEAN
-119.82,36.79,18,5822,1439,3415,1224,1.6854,64700,INLAND
-118.4,33.88,35,1753,296,615,275,NA,500001,<1H OCEAN
-118.15,34.14,27,1499,426,755,414,3.875,258300,<1H OCEAN
-121.8,38.67,10,2086,380,1073,378,4.5526,154400,INLAND
-118.41,33.93,38,3328,625,1455,619,5.0596,363900,NA
-117.93,33.65,29,1253,375,1198,362,3.5179,225000,<1H OCEAN
-121.98,37.31,28,3840,629,NA,662,NA,335900,NA
-117.19,32.77,9,634,152,248,133,3.8571,143800,NEAR OCEAN
-118.39,34.04,52,1492,277,NA,289,4.7386,340400,<1H OCEAN
-119.61,36.59,10,2842,620,1443,576,2.2727,92700,INLAND
-122.44,37.78,52,1118,279,514,284,2.4196,346200,NEAR BAY
-117.12,32.59,28,2793,706,1825,676,2.6724,144500,NEAR OCEAN
-121.91,36.6,35,2605,410,1110,406,5.5519,329500,NEAR OCEAN
-114.65,34.89,17,2556,587,1005,401,1.6991,69100,INLAND
-119.89,36.79,5,3821,705,2179,694,3.7821,80400,INLAND
-118.63,34.18,33,5252,760,2041,730,NA,389700,<1H OCEAN
-118.38,34.16,42,2358,546,1065,523,3.1289,320600,NA
-119.77,36.78,40,1411,284,609,296,1.9375,67700,INLAND
-117.27,34.1,9,3904,1042,3688,896,1.8022,78000,INLAND
-118.19,33.86,42,1999,431,1060,399,3.7031,167100,<1H OCEAN
-121.49,37.94,31,1860,394,1848,293,2.2891,162500,INLAND
-121.88,37.67,25,2244,301,937,324,NA,296900,NA
-118.3,34.05,31,1744,720,2034,633,2.2684,193800,<1H OCEAN
-118.14,34.03,44,2003,390,1291,392,4.0625,201100,<1H OCEAN
-118.15,33.86,34,2403,413,1385,386,4.4934,213800,<1H OCEAN
-118.2,34.05,50,1407,401,1526,385,2.29,121800,<1H OCEAN
-118.27,34.16,45,1865,360,973,349,3.6587,321200,<1H OCEAN
-121.37,37.77,19,2610,474,1290,452,4.1298,222800,INLAND
-118.14,33.97,29,1846,530,2576,528,2.63,156000,<1H OCEAN
-118.21,34.2,35,3646,552,1409,534,NA,500001,NA
-121.34,38.64,17,2761,501,NA,482,3.7562,139700,INLAND
-122.7,38.33,16,1244,242,696,236,3.6369,158700,<1H OCEAN
-122.03,37.35,19,3811,1227,1930,1153,3.5154,311400,<1H OCEAN
-121.7,38.65,22,1360,282,NA,229,2.4167,225000,INLAND
-121.98,37.36,35,1293,223,701,216,NA,281900,<1H OCEAN
-122.41,37.65,32,3436,868,2583,817,3.5039,232400,NA
-124.23,40.54,52,2694,453,1152,435,3.0806,106700,NEAR OCEAN
-122.31,37.53,41,1608,269,676,267,4.6125,361700,NEAR OCEAN
-118.3,34.04,50,1757,522,NA,488,1.7225,180000,<1H OCEAN
-122.27,37.78,52,1222,264,630,265,3.7708,215300,NEAR BAY
-122.19,38.09,8,614,118,278,115,NA,166300,NEAR BAY
-119.75,36.75,49,2331,460,1290,477,2.5111,55400,INLAND
-118.42,34.19,34,2622,572,1997,573,3.338,222500,NA
-117.81,33.69,5,1256,256,880,288,2.4233,450000,<1H OCEAN
-118.19,33.78,29,1013,392,1083,316,1.8438,162500,NEAR OCEAN
-118.49,34,32,3407,1071,1463,986,3.0369,500001,<1H OCEAN
-122.3,37.97,35,1811,377,911,340,3.375,149700,NEAR BAY
-118.28,33.74,40,1751,512,1939,503,1.5394,200000,NEAR OCEAN
-117.11,32.77,48,1502,272,590,265,2.5952,190300,NEAR OCEAN
-121.28,38.77,6,3819,550,1738,587,5.8718,201400,INLAND
-117.96,33.88,25,3578,461,1588,466,NA,341300,<1H OCEAN
-120.64,35.15,7,7922,1442,NA,1197,4.849,275000,<1H OCEAN
-119.69,36.81,13,1524,366,NA,370,2.5446,93800,INLAND
-117.19,34.06,37,1467,348,1316,339,1.448,72800,INLAND
-118.67,34.3,5,6123,825,2440,736,NA,393000,<1H OCEAN
-116.95,33.86,1,6,2,8,2,1.625,55000,INLAND
-121.4,38.47,4,20982,3392,10329,3086,4.3658,130600,INLAND
-120.9,35.69,14,5020,909,2105,796,3.8158,248700,<1H OCEAN
-118.88,34.19,16,7268,1729,3232,1653,3.3703,228700,<1H OCEAN
-121.97,37.33,21,8275,1566,3636,1524,5.1506,302100,NA
-117.2,32.76,40,581,157,298,156,2.4,255000,NEAR OCEAN
-117.87,33.99,21,2837,515,2031,555,4.9271,209700,<1H OCEAN
-122.49,38.3,14,2844,602,1613,544,3.3571,193600,<1H OCEAN
-116.56,33.83,36,1765,399,451,264,2.6083,321900,INLAND
-118.23,34.1,38,1051,249,799,229,2.712,143800,<1H OCEAN
-122.42,37.78,52,1254,469,895,456,2.1516,187500,NEAR BAY
-117.88,33.74,19,2261,642,3545,635,2.5224,148500,<1H OCEAN
-122.69,38.46,32,2970,504,1117,512,5,275900,NA
-121.96,37.84,29,7479,977,2744,943,NA,398200,INLAND
-122.59,38.04,25,3412,455,NA,406,NA,397300,NEAR BAY
-118.1,33.9,37,796,175,740,183,3.6,156400,<1H OCEAN
-122.22,37.79,38,3049,711,2167,659,2.7969,141700,NEAR BAY
-117.9,33.91,26,2885,476,1227,439,4.9524,226600,<1H OCEAN
-117.18,32.68,29,1539,344,556,289,3.25,500001,NEAR OCEAN
-121.36,38.02,5,2229,543,1010,474,4.1719,206100,INLAND
-121.48,39.05,40,198,41,151,48,4.5625,100000,INLAND
-118.36,33.87,19,2512,575,1275,544,4.9375,293000,<1H OCEAN
-117.08,33.08,23,3400,501,1383,488,4.9844,249100,NA
-122.9,39.17,45,1314,277,649,232,2.575,73600,INLAND
-117.2,33.12,18,4372,736,1473,675,5.1194,247800,NA
-116.47,33.81,7,10105,2481,6274,2095,2.4497,90900,INLAND
-124.16,40.77,35,2141,438,1053,434,2.8529,85600,NEAR OCEAN
-121.3,37.92,28,3308,766,3201,720,1.7694,73900,INLAND
-122.63,38.95,11,686,127,246,86,1.7083,77300,INLAND
-118.13,33.97,36,1759,295,837,267,4.6992,251900,<1H OCEAN
-121.94,36.98,24,3010,562,1360,504,4.2006,290700,NA
-122.05,36.97,16,3363,611,1603,556,4.2542,294100,NEAR OCEAN
-121.82,39.75,37,2236,372,974,379,3.2016,97000,INLAND
-122.04,36.98,35,2155,355,866,335,5.6188,404700,NEAR OCEAN
-117.8,33.63,8,32,9,26,11,4.1944,270800,NA
-121.01,37.62,35,2074,477,1687,431,2.0885,73700,INLAND
-121.57,39.48,15,202,54,145,40,0.8252,42500,INLAND
-117.05,32.95,17,4814,1091,3013,1078,3.2369,167800,<1H OCEAN
-117.92,34,36,116,30,193,35,3.8125,136300,<1H OCEAN
-124.14,41.95,21,2696,578,1208,494,2.275,122400,NEAR OCEAN
-122.22,37.78,50,1776,473,1807,440,1.7276,102300,NEAR BAY
-117.35,33.17,16,4595,1341,2849,1197,2.478,185600,NEAR OCEAN
-117.65,34.03,15,4420,903,NA,858,3.449,149100,INLAND
-121.43,38.64,34,2010,411,1501,422,2.0417,65900,INLAND
-120.14,36,33,1726,420,1371,388,2.0335,43900,INLAND
-122.58,38.46,15,2936,517,NA,501,3.3981,246900,<1H OCEAN
-117.95,33.95,29,4943,674,1913,641,NA,379300,NA
-121.47,38.52,42,2316,515,NA,522,1.8205,60400,INLAND
-115.46,33.19,33,1234,373,777,298,1,40000,INLAND
-120.1,36.66,19,2020,416,1341,360,1.7,69000,INLAND
-117.25,32.8,32,1601,468,731,429,2.5568,258300,NEAR OCEAN
-121.99,37.34,27,3353,653,1571,621,5.273,315600,<1H OCEAN
-118.29,34.01,30,1385,518,NA,472,1.0539,142500,<1H OCEAN
-121.47,38.55,48,968,310,NA,274,0.9948,65400,INLAND
-117.35,34.01,23,3707,769,1938,658,2.725,95300,INLAND
-121.95,37.29,9,1503,381,715,349,4.6371,234300,<1H OCEAN
-121.64,39.11,18,3212,542,1817,508,3.3793,92900,INLAND
-118.34,33.83,35,1818,353,NA,321,5.8972,350900,<1H OCEAN
-122.08,37.64,36,786,133,NA,160,3.9338,182700,NEAR BAY
-122.25,37.39,33,370,42,153,53,NA,500001,NEAR OCEAN
-117,32.76,31,2545,373,NA,342,4.3977,226800,<1H OCEAN
-121.01,37.7,12,9148,1906,4656,1853,3.2447,142200,INLAND
-121.86,36.63,37,338,109,NA,100,2.5313,108300,<1H OCEAN
-119.67,34.38,28,1814,526,849,420,3.1625,364300,<1H OCEAN
-122.43,37.73,52,1985,401,1337,424,4.1071,240900,NEAR BAY
-121.88,37.44,20,1351,372,1427,394,4.4712,144000,<1H OCEAN
-122.33,38.29,14,3541,499,NA,459,5.3351,269900,NEAR BAY
-119.73,34.43,35,2703,654,1383,631,4.5278,340400,NEAR OCEAN
-119.25,36.71,13,2813,579,1385,512,2.2202,100000,INLAND
-118.43,34.43,5,21113,4386,9842,3886,4.2037,194600,<1H OCEAN
-119.04,36.07,26,2185,435,1108,419,2.2277,78000,INLAND
-118.04,33.93,36,1726,332,1293,310,4.3849,144100,<1H OCEAN
-117.72,33.61,26,2033,463,618,450,2.5685,80400,<1H OCEAN
-118.3,33.73,47,2852,603,1130,560,4.194,293900,NA
-122.16,37.73,52,1114,206,425,207,2.5625,175000,NEAR BAY
-117.98,34.01,27,2643,418,NA,381,5.7057,262100,<1H OCEAN
-122.32,37.56,44,537,173,355,194,2.8571,250000,NEAR OCEAN
-118.2,33.93,36,1191,345,1193,295,2.5185,138800,<1H OCEAN
-121.79,36.68,22,6912,1513,3794,1455,3.0608,168300,<1H OCEAN
-117.91,33.74,15,715,214,1394,244,3.3846,162500,<1H OCEAN
-118.42,34.18,30,1323,353,856,333,3.3594,202200,<1H OCEAN
-118.25,33.99,39,1274,319,1362,324,2.1793,107900,<1H OCEAN
-122.38,40.09,16,2077,388,1155,389,3.1361,84800,INLAND
-120.79,38.83,15,1374,291,709,239,1.7222,118500,INLAND
-118.41,34.21,35,1789,292,897,267,5.592,239900,<1H OCEAN
-122.41,37.74,38,1754,382,928,354,4.1417,270800,NEAR BAY
-118.41,34.15,46,1628,259,500,258,6.083,424000,<1H OCEAN
-118.66,35.2,7,9664,1692,3617,1370,4.0581,162900,INLAND
-117.08,33.13,17,8466,2628,7014,2267,2.1437,113700,<1H OCEAN
-122.42,40.63,23,2248,489,NA,444,1.6429,80400,INLAND
-116.98,32.74,16,3361,537,1754,578,5.1098,162300,<1H OCEAN
-121.93,36.59,25,2201,353,622,295,5.0621,386500,NA
-121.01,37.62,35,568,150,622,145,1.8167,79500,INLAND
-117.92,34.06,34,2819,609,1718,558,3.5547,197600,<1H OCEAN
-122.4,37.61,35,2084,549,1077,545,3.1628,318400,NEAR OCEAN
-122.45,37.79,52,1457,215,NA,208,NA,500001,NEAR BAY
-117.93,33.93,37,1128,273,931,234,2.8,137500,<1H OCEAN
-117.62,33.43,23,4052,955,1950,859,4.0647,240600,NEAR OCEAN
-117.45,34.07,21,3465,639,2292,628,3.3553,113500,INLAND
-118.15,33.95,35,2753,702,1592,614,2.7875,209000,<1H OCEAN
-118.1,34.13,44,1917,265,754,257,NA,500001,<1H OCEAN
-118.23,34.22,36,2288,439,1079,434,4.5486,361000,<1H OCEAN
-118.27,34.14,29,3768,1211,2320,1030,2.7685,204500,<1H OCEAN
-122.31,38.31,32,2577,458,1172,447,3.8796,175500,NEAR BAY
-118.18,33.98,38,1477,374,1514,408,2.5703,178600,<1H OCEAN
